ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
Q01741	cytochrome P450, family 1, subfamily A, polypeptide 2(CYP1A2)	Gallus gallus			Secondary metabolites biosynthesis, transport, and catabolism,	GO:0017144~drug metabolic process,GO:0043385~mycotoxin metabolic process,GO:0046677~response to antibiotic,GO:0055114~oxidation-reduction process,GO:0070989~oxidative demethylation,GO:0071615~oxidative deethylation,	GO:0005623~cell,GO:0005789~endoplasmic reticulum membrane,GO:0031090~organelle membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0004497~monooxygenase activity,GO:0005506~iron ion binding,GO:0019825~oxygen binding,GO:0020037~heme binding,GO:0070330~aromatase activity,	IPR001128:Cytochrome P450,IPR002401:Cytochrome P450, E-class, group I,IPR008066:Cytochrome P450, E-class, group I, CYP1,IPR017972:Cytochrome P450, conserved site,	gga00140:Steroid hormone biosynthesis,gga00380:Tryptophan metabolism,gga00830:Retinol metabolism,gga00980:Metabolism of xenobiotics by cytochrome P450,gga01100:Metabolic pathways,				Complete proteome,Endoplasmic reticulum,Heme,Iron,Membrane,Metal-binding,Microsome,Monooxygenase,Oxidoreductase,Reference proteome,	chain:Cytochrome P450 1A5,metal ion-binding site:Iron (heme axial ligand),
Q64441	cytochrome P450, family 24, subfamily a, polypeptide 1(Cyp24a1)	Mus musculus		m_nuclearRsPathway:Nuclear Receptors in Lipid Metabolism and Toxicity,	Secondary metabolites biosynthesis, transport, and catabolism,	GO:0001649~osteoblast differentiation,GO:0033280~response to vitamin D,GO:0042359~vitamin D metabolic process,GO:0055114~oxidation-reduction process,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005886~plasma membrane,	GO:0004497~monooxygenase activity,GO:0005506~iron ion binding,GO:0008403~25-hydroxycholecalciferol-24-hydroxylase activity,GO:0016491~oxidoreductase activity,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,GO:0020037~heme binding,GO:0030342~1-alpha,25-dihydroxyvitamin D3 24-hydroxylase activity,GO:0046872~metal ion binding,	IPR001128:Cytochrome P450,IPR002401:Cytochrome P450, E-class, group I,IPR002949:Cytochrome P450, E-class, CYP24A, mitochondrial,IPR017972:Cytochrome P450, conserved site,	mmu00100:Steroid biosynthesis,mmu01100:Metabolic pathways,mmu05206:MicroRNAs in cancer,				Complete proteome,Heme,Iron,Metal-binding,Mitochondrion,Monooxygenase,NADP,Oxidoreductase,Reference proteome,Transit peptide,	chain:1,25-dihydroxyvitamin D(3) 24- hydroxylase, mitochondrial,metal ion-binding site:Iron (heme axial ligand),transit peptide:Mitochondrion,
O13085	cytochrome c oxidase subunit VIa(LOC100335037)	Oncorhynchus mykiss					GO:0005751~mitochondrial respiratory chain complex IV,	GO:0004129~cytochrome-c oxidase activity,	IPR001349:Cytochrome c oxidase, subunit VIa,IPR018507:Cytochrome c oxidase, subunit VIa, conserved site,			PIRSF000277:cytochrome-c oxidase, subunit VIa,		Membrane,Mitochondrion,Mitochondrion inner membrane,Transit peptide,
P00428	cytochrome c oxidase subunit Vb(COX5B)	Bos taurus				GO:0006123~mitochondrial electron transport, cytochrome c to oxygen,GO:0042776~mitochondrial ATP synthesis coupled proton transport,	GO:0005743~mitochondrial inner membrane,GO:0005751~mitochondrial respiratory chain complex IV,GO:0045277~respiratory chain complex IV,	GO:0004129~cytochrome-c oxidase activity,GO:0046872~metal ion binding,	IPR002124:Cytochrome c oxidase, subunit Vb,IPR020893:Cytochrome c oxidase, subunit Vb, zinc binding site,	bta00190:Oxidative phosphorylation,bta01100:Metabolic pathways,bta04260:Cardiac muscle contraction,bta04932:Non-alcoholic fatty liver disease (NAFLD),bta05010:Alzheimer's disease,bta05012:Parkinson's disease,bta05016:Huntington's disease,				3D-structure,Acetylation,Complete proteome,Direct protein sequencing,Membrane,Metal-binding,Mitochondrion,Mitochondrion inner membrane,Reference proteome,Transit peptide,Zinc,	chain:Cytochrome c oxidase subunit 5B, mitochondrial,helix,metal ion-binding site:Zinc,modified residue,strand,transit peptide:Mitochondrion,turn,
P19536	cytochrome c oxidase subunit Vb(Cox5b)	Mus musculus				GO:0006123~mitochondrial electron transport, cytochrome c to oxygen,GO:0042776~mitochondrial ATP synthesis coupled proton transport,	GO:0005739~mitochondrion,GO:0005740~mitochondrial envelope,GO:0005743~mitochondrial inner membrane,GO:0005751~mitochondrial respiratory chain complex IV,GO:0043209~myelin sheath,	GO:0004129~cytochrome-c oxidase activity,GO:0046872~metal ion binding,	IPR002124:Cytochrome c oxidase, subunit Vb,IPR020893:Cytochrome c oxidase, subunit Vb, zinc binding site,	mmu00190:Oxidative phosphorylation,mmu01100:Metabolic pathways,mmu04260:Cardiac muscle contraction,mmu04932:Non-alcoholic fatty liver disease (NAFLD),mmu05010:Alzheimer's disease,mmu05012:Parkinson's disease,mmu05016:Huntington's disease,				Acetylation,Complete proteome,Direct protein sequencing,Membrane,Metal-binding,Mitochondrion,Mitochondrion inner membrane,Proteomics identification,Reference proteome,Transit peptide,Zinc,	chain:Cytochrome c oxidase subunit 5B, mitochondrial,metal ion-binding site:Zinc,modified residue,transit peptide:Mitochondrion,
A4QVH4	cytochrome c peroxidase(MGG_04545)	Magnaporthe oryzae 70-15				GO:0006979~response to oxidative stress,GO:0043581~mycelium development,	GO:0005759~mitochondrial matrix,	GO:0004130~cytochrome-c peroxidase activity,GO:0020037~heme binding,GO:0046872~metal ion binding,	IPR002016:Haem peroxidase, plant/fungal/bacterial,IPR002207:Plant ascorbate peroxidase,IPR010255:Haem peroxidase,IPR019793:Peroxidases heam-ligand binding site,IPR019794:Peroxidase, active site,					Complete proteome,Heme,Iron,Metal-binding,Mitochondrion,Oxidoreductase,Peroxidase,Reference proteome,Transit peptide,	active site:Proton acceptor,active site:Tryptophan radical intermediate,chain:Cytochrome c peroxidase, mitochondrial,compositionally biased region:Poly-Ala,metal ion-binding site:Iron (heme axial ligand),site:Transition state stabilizer,transit peptide:Mitochondrion,
P00125	cytochrome c-1(CYC1)	Bos taurus			Energy production and conversion,	GO:0055114~oxidation-reduction process,	GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0016021~integral component of membrane,GO:0070469~respiratory chain,	GO:0009055~electron carrier activity,GO:0020037~heme binding,GO:0046872~metal ion binding,	IPR002326:Cytochrome c1,IPR009056:Cytochrome c domain,IPR021157:Cytochrome c1, transmembrane anchor, C-terminal,	bta00190:Oxidative phosphorylation,bta01100:Metabolic pathways,bta04260:Cardiac muscle contraction,bta04932:Non-alcoholic fatty liver disease (NAFLD),bta05010:Alzheimer's disease,bta05012:Parkinson's disease,bta05016:Huntington's disease,				3D-structure,Complete proteome,Direct protein sequencing,Electron transport,Heme,Iron,Membrane,Metal-binding,Mitochondrion,Mitochondrion inner membrane,Reference proteome,Respiratory chain,Transit peptide,Transmembrane,Transmembrane helix,Transport,	binding site:Heme (covalent),chain:Cytochrome c1, heme protein, mitochondrial,domain:Cytochrome c,helix,metal ion-binding site:Iron (heme axial ligand),strand,transit peptide:Mitochondrion,transmembrane region,turn,
Q9I426	cytochrome o ubiquinol oxidase subunit I(cyoB)	Pseudomonas aeruginosa PAO1			Energy production and conversion,	GO:0009060~aerobic respiration,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0070469~respiratory chain,	GO:0004129~cytochrome-c oxidase activity,GO:0005506~iron ion binding,GO:0016682~oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor,GO:0020037~heme binding,	IPR000883:Cytochrome c oxidase, subunit I,IPR014207:Cytochrome o ubiquinol oxidase, subunit I,IPR023615:Cytochrome c oxidase, subunit I, copper-binding site,IPR023616:Cytochrome c oxidase, subunit I domain,	pae00190:Oxidative phosphorylation,pae01100:Metabolic pathways,				Cell inner membrane,Cell membrane,Complete proteome,Copper,Electron transport,Heme,Hydrogen ion transport,Ion transport,Iron,Membrane,Metal-binding,Oxidoreductase,Reference proteome,Respiratory chain,Transmembrane,Transmembrane helix,Transport,	chain:Ubiquinol oxidase subunit 1,cross-link:1'-histidyl-3'-tyrosine (His-Tyr),metal ion-binding site:Copper B,metal ion-binding site:Iron (heme B axial ligand),metal ion-binding site:Iron (heme O axial ligand),topological domain:Cytoplasmic,topological domain:Periplasmic,transmembrane region,
P38671	cytochrome-5(cyt-5)	Neurospora crassa OR74A				GO:0006351~transcription, DNA-templated,	GO:0005739~mitochondrion,	GO:0003677~DNA binding,GO:0003899~DNA-directed RNA polymerase activity,	IPR002092:DNA-directed RNA polymerase, phage-type,IPR024075:DNA-directed RNA polymerase, helix hairpin domain,				SM01311:SM01311,	Complete proteome,DNA-directed RNA polymerase,Mitochondrion,Nucleotidyltransferase,Reference proteome,Transcription,Transferase,Transit peptide,
Q9UIA0	cytohesin 4(CYTH4)	Homo sapiens		h_arapPathway:ADP-Ribosylation Factor,		GO:0032012~regulation of ARF protein signal transduction,GO:0043547~positive regulation of GTPase activity,	GO:0000139~Golgi membrane,GO:0005829~cytosol,GO:0005886~plasma membrane,	GO:0005086~ARF guanyl-nucleotide exchange factor activity,GO:0008289~lipid binding,	IPR000904:SEC7-like,IPR001849:Pleckstrin homology domain,IPR011993:Pleckstrin homology-like domain,IPR023394:SEC7-like, alpha orthogonal bundle,	hsa04144:Endocytosis,			SM00222:Sec7,SM00233:PH,	Cell membrane,Coiled coil,Complete proteome,Guanine-nucleotide releasing factor,Lipid-binding,Membrane,Polymorphism,Proteomics identification,Reference proteome,	chain:Cytohesin-4,domain:PH,domain:SEC7,modified residue,sequence variant,
Q24292	dachsous(ds)	Drosophila melanogaster				GO:0000904~cell morphogenesis involved in differentiation,GO:0001736~establishment of planar polarity,GO:0001737~establishment of imaginal disc-derived wing hair orientation,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0007164~establishment of tissue polarity,GO:0007476~imaginal disc-derived wing morphogenesis,GO:0007480~imaginal disc-derived leg morphogenesis,GO:0008283~cell proliferation,GO:0016318~ommatidial rotation,GO:0016337~single organismal cell-cell adhesion,GO:0016339~calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0018149~peptide cross-linking,GO:0030010~establishment of cell polarity,GO:0035159~regulation of tube length, open tracheal system,GO:0035222~wing disc pattern formation,GO:0042067~establishment of ommatidial planar polarity,GO:0044331~cell-cell adhesion mediated by cadherin,GO:0045198~establishment of epithelial cell apical/basal polarity,GO:0045317~equator specification,GO:0048592~eye morphogenesis,GO:0090175~regulation of establishment of planar polarity,GO:0090176~microtubule cytoskeleton organization involved in establishment of planar polarity,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,	GO:0004871~signal transducer activity,GO:0004872~receptor activity,GO:0005509~calcium ion binding,GO:0045296~cadherin binding,GO:0050839~cell adhesion molecule binding,	IPR002126:Cadherin,IPR015919:Cadherin-like,IPR020894:Cadherin conserved site,IPR027397:Catenin binding domain,	dme04391:Hippo signaling pathway - fly,			SM00112:CA,	Calcium,Cell adhesion,Cell membrane,Complete proteome,Developmental protein,Glycoprotein,Membrane,Phosphoprotein,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Protein dachsous,domain:Cadherin 1,domain:Cadherin 10,domain:Cadherin 11,domain:Cadherin 12,domain:Cadherin 13,domain:Cadherin 14,domain:Cadherin 15,domain:Cadherin 16,domain:Cadherin 17,domain:Cadherin 18,domain:Cadherin 19,domain:Cadherin 2,domain:Cadherin 20,domain:Cadherin 21,domain:Cadherin 22,domain:Cadherin 23,domain:Cadherin 24,domain:Cadherin 25,domain:Cadherin 26,domain:Cadherin 27,domain:Cadherin 3,domain:Cadherin 4,domain:Cadherin 5,domain:Cadherin 6,domain:Cadherin 7,domain:Cadherin 8,domain:Cadherin 9,glycosylation site:N-linked (GlcNAc...),modified residue,sequence conflict,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
A3KMT2	death associated protein like 1 L homeolog(dapl1.L)	Xenopus laevis							IPR024130:DAP1/DAPL1,						chain:Death-associated protein-like 1-A,
Q5PRA2	dehydrogenase E1 and transketolase domain containing 1(dhtkd1)	Danio rerio			Energy production and conversion,	GO:0006096~glycolytic process,GO:0006099~tricarboxylic acid cycle,GO:0008152~metabolic process,GO:0055114~oxidation-reduction process,	GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0045252~oxoglutarate dehydrogenase complex,	GO:0004591~oxoglutarate dehydrogenase (succinyl-transferring) activity,GO:0016491~oxidoreductase activity,GO:0016624~oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor,GO:0030976~thiamine pyrophosphate binding,	IPR001017:Dehydrogenase, E1 component,IPR005475:Transketolase-like, pyrimidine-binding domain,IPR011603:2-oxoglutarate dehydrogenase, E1 component,			PIRSF000157:2-oxoglutarate dehydrogenase, E1 component,	SM00861:SM00861,	Complete proteome,Glycolysis,Mitochondrion,Oxidoreductase,Proteomics identification,Reference proteome,Thiamine pyrophosphate,Transit peptide,	chain:Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial,transit peptide:Mitochondrion,
Q8WNV7	dehydrogenase/reductase (SDR family) member 4(DHRS4)	Sus scrofa				GO:0042574~retinal metabolic process,GO:0055114~oxidation-reduction process,	GO:0005739~mitochondrion,GO:0005777~peroxisome,	GO:0000253~3-keto sterol reductase activity,GO:0001758~retinal dehydrogenase activity,GO:0004090~carbonyl reductase (NADPH) activity,	IPR002347:Glucose/ribitol dehydrogenase,IPR016040:NAD(P)-binding domain,IPR020904:Short-chain dehydrogenase/reductase, conserved site,	ssc00830:Retinol metabolism,ssc01100:Metabolic pathways,ssc04146:Peroxisome,				3D-structure,Acetylation,Complete proteome,Direct protein sequencing,NADP,Oxidoreductase,Peroxisome,Phosphoprotein,Reference proteome,	active site:Proton acceptor,chain:Dehydrogenase/reductase SDR family member 4,helix,nucleotide phosphate-binding region:NADP,short sequence motif:Microbody targeting signal,strand,turn,
Q5RBH2	diablo IAP-binding mitochondrial protein(DIABLO)	Pongo abelii				GO:0006915~apoptotic process,GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0008631~intrinsic apoptotic signaling pathway in response to oxidative stress,GO:0008635~activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,GO:0051402~neuron apoptotic process,	GO:0005739~mitochondrion,GO:0009898~cytoplasmic side of plasma membrane,GO:0035631~CD40 receptor complex,		IPR009062:Smac/DIABLO-like,IPR015142:Smac/DIABLO protein,					Apoptosis,Coiled coil,Complete proteome,Mitochondrion,Reference proteome,Signal,Transit peptide,Ubl conjugation,	chain:Diablo homolog, mitochondrial,short sequence motif:IAP-binding,transit peptide:Mitochondrion,
Q9NR28	diablo IAP-binding mitochondrial protein(DIABLO)	Homo sapiens	126.Apoptosis-Bcl-2,127.Mito-stress,81.Structure_of_Caps_and_SMACs,	h_mitochondriaPathway:Role of Mitochondria in Apoptotic Signaling,		GO:0006915~apoptotic process,GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors,GO:0008631~intrinsic apoptotic signaling pathway in response to oxidative stress,GO:0008635~activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,GO:0043065~positive regulation of apoptotic process,GO:0051402~neuron apoptotic process,GO:0097193~intrinsic apoptotic signaling pathway,	GO:0005739~mitochondrion,GO:0005758~mitochondrial intermembrane space,GO:0005829~cytosol,GO:0009898~cytoplasmic side of plasma membrane,GO:0016021~integral component of membrane,GO:0035631~CD40 receptor complex,	GO:0005515~protein binding,	IPR009062:Smac/DIABLO-like,IPR015142:Smac/DIABLO protein,		614152~Deafness, autosomal dominant 64,			3D-structure,Alternative splicing,Apoptosis,Coiled coil,Complete proteome,Deafness,Direct protein sequencing,Disease mutation,Membrane,Mitochondrion,Non-syndromic deafness,Proteomics identification,Reference proteome,Signal,Transit peptide,Transmembrane,Transmembrane helix,Ubl conjugation,	chain:Diablo homolog, mitochondrial,helix,sequence conflict,short sequence motif:IAP-binding,splice variant,strand,transit peptide:Mitochondrion,
Q9JIQ3	diablo, IAP-binding mitochondrial protein(Diablo)	Mus musculus		m_mitochondriaPathway:Role of Mitochondria in Apoptotic Signaling,		GO:0006915~apoptotic process,GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0008631~intrinsic apoptotic signaling pathway in response to oxidative stress,GO:0008635~activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,GO:0043065~positive regulation of apoptotic process,GO:0051402~neuron apoptotic process,GO:0097193~intrinsic apoptotic signaling pathway,	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005758~mitochondrial intermembrane space,GO:0009898~cytoplasmic side of plasma membrane,GO:0035631~CD40 receptor complex,		IPR009062:Smac/DIABLO-like,IPR015142:Smac/DIABLO protein,					Apoptosis,Coiled coil,Complete proteome,Mitochondrion,Phosphoprotein,Proteomics identification,Reference proteome,Transit peptide,Ubl conjugation,	chain:Diablo homolog, mitochondrial,sequence conflict,short sequence motif:IAP-binding,transit peptide:Mitochondrion,
Q8VZG1	diacylglycerol kinase 3(DGK3)	Arabidopsis thaliana				GO:0006952~defense response,GO:0007205~protein kinase C-activating G-protein coupled receptor signaling pathway,GO:0016310~phosphorylation,	GO:0005634~nucleus,GO:0005886~plasma membrane,GO:0009506~plasmodesma,GO:0016020~membrane,	GO:0004143~diacylglycerol kinase activity,GO:0005524~ATP binding,	IPR000756:Diacylglycerol kinase, accessory domain,IPR001206:Diacylglycerol kinase, catalytic domain,IPR016064:ATP-NAD kinase-like domain,IPR016961:Diacylglycerol kinase, plant,	ath00561:Glycerolipid metabolism,ath00564:Glycerophospholipid metabolism,ath01100:Metabolic pathways,ath01110:Biosynthesis of secondary metabolites,ath04070:Phosphatidylinositol signaling system,		PIRSF030829:diacylglycerol kinase, plant type,	SM00045:DAGKa,SM00046:DAGKc,	ATP-binding,Complete proteome,Kinase,Nucleotide-binding,Plant defense,Reference proteome,Stress response,Transferase,
Q920P0	dicarbonyl and L-xylulose reductase(Dcxr)	Rattus norvegicus				GO:0005997~xylulose metabolic process,GO:0006006~glucose metabolic process,GO:0006739~NADP metabolic process,GO:0042732~D-xylose metabolic process,GO:0051289~protein homotetramerization,GO:0055114~oxidation-reduction process,	GO:0005634~nucleus,GO:0005881~cytoplasmic microtubule,GO:0005902~microvillus,GO:0005903~brush border,GO:0016020~membrane,GO:0070062~extracellular exosome,	GO:0016491~oxidoreductase activity,GO:0016614~oxidoreductase activity, acting on CH-OH group of donors,GO:0016655~oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor,GO:0050038~L-xylulose reductase (NADP+) activity,	IPR002347:Glucose/ribitol dehydrogenase,IPR016040:NAD(P)-binding domain,IPR020904:Short-chain dehydrogenase/reductase, conserved site,	rno00040:Pentose and glucuronate interconversions,rno01100:Metabolic pathways,				Acetylation,Carbohydrate metabolism,Complete proteome,Glucose metabolism,Membrane,NADP,Oxidoreductase,Phosphoprotein,Proteomics identification,Reference proteome,Xylose metabolism,	active site:Proton acceptor,binding site:Substrate,chain:L-xylulose reductase,modified residue,mutagenesis site,nucleotide phosphate-binding region:NADP,
Q8VEJ3	dickkopf WNT signaling pathway inhibitor 4(Dkk4)	Mus musculus				GO:0007275~multicellular organism development,GO:0016055~Wnt signaling pathway,GO:0030178~negative regulation of Wnt signaling pathway,GO:0061170~negative regulation of hair follicle placode formation,	GO:0005576~extracellular region,		IPR006796:Dickkopf, N-terminal cysteine-rich,IPR023569:Prokineticin domain,	mmu04310:Wnt signaling pathway,				Complete proteome,Developmental protein,Disulfide bond,Reference proteome,Secreted,Signal,Wnt signaling pathway,	chain:Dickkopf-related protein 4,disulfide bond,region of interest:DKK-type Cys-1,region of interest:DKK-type Cys-2,signal peptide,
P11179	dihydrolipoamide S-succinyltransferase(DLST)	Bos taurus				GO:0006099~tricarboxylic acid cycle,GO:0033512~L-lysine catabolic process to acetyl-CoA via saccharopine,	GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0016020~membrane,GO:0043209~myelin sheath,GO:0045252~oxoglutarate dehydrogenase complex,GO:0070062~extracellular exosome,	GO:0004149~dihydrolipoyllysine-residue succinyltransferase activity,	IPR000089:Biotin/lipoyl attachment,IPR001078:2-oxoacid dehydrogenase acyltransferase, catalytic domain,IPR003016:2-oxo acid dehydrogenase, lipoyl-binding site,IPR006255:Dihydrolipoamide succinyltransferase,IPR011053:Single hybrid motif,IPR023213:Chloramphenicol acetyltransferase-like domain,	bta00020:Citrate cycle (TCA cycle),bta00310:Lysine degradation,bta01100:Metabolic pathways,bta01130:Biosynthesis of antibiotics,bta01200:Carbon metabolism,				Acetylation,Acyltransferase,Coiled coil,Complete proteome,Direct protein sequencing,Lipoyl,Mitochondrion,Phosphoprotein,Proteomics identification,Reference proteome,Transferase,Transit peptide,Tricarboxylic acid cycle,	chain:Dihydrolipoyllysine-residue succinyltransferase component of 2- oxoglutarate dehydrogenase complex, mitochondrial,domain:Lipoyl-binding,modified residue,transit peptide:Mitochondrion,
P36957	dihydrolipoamide S-succinyltransferase(DLST)	Homo sapiens				GO:0006091~generation of precursor metabolites and energy,GO:0006099~tricarboxylic acid cycle,GO:0006103~2-oxoglutarate metabolic process,GO:0006554~lysine catabolic process,GO:0006734~NADH metabolic process,GO:0008152~metabolic process,GO:0033512~L-lysine catabolic process to acetyl-CoA via saccharopine,GO:0046487~glyoxylate metabolic process,	GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0043209~myelin sheath,GO:0045252~oxoglutarate dehydrogenase complex,GO:0070062~extracellular exosome,	GO:0004149~dihydrolipoyllysine-residue succinyltransferase activity,GO:0016740~transferase activity,GO:0016746~transferase activity, transferring acyl groups,	IPR000089:Biotin/lipoyl attachment,IPR001078:2-oxoacid dehydrogenase acyltransferase, catalytic domain,IPR003016:2-oxo acid dehydrogenase, lipoyl-binding site,IPR006255:Dihydrolipoamide succinyltransferase,IPR011053:Single hybrid motif,IPR023213:Chloramphenicol acetyltransferase-like domain,	hsa00020:Citrate cycle (TCA cycle),hsa00310:Lysine degradation,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,hsa01200:Carbon metabolism,				Acetylation,Acyltransferase,Alternative splicing,Coiled coil,Complete proteome,Direct protein sequencing,Lipoyl,Mitochondrion,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transferase,Transit peptide,Tricarboxylic acid cycle,	chain:Dihydrolipoyllysine-residue succinyltransferase component of 2- oxoglutarate dehydrogenase complex, mitochondrial,domain:Lipoyl-binding,modified residue,sequence conflict,sequence variant,transit peptide:Mitochondrion,
P11181	dihydrolipoamide branched chain transacylase E2(DBT)	Bos taurus			Energy production and conversion,	GO:0008152~metabolic process,	GO:0042645~mitochondrial nucleoid,	GO:0031625~ubiquitin protein ligase binding,GO:0043754~dihydrolipoyllysine-residue (2-methylpropanoyl)transferase activity,	IPR000089:Biotin/lipoyl attachment,IPR001078:2-oxoacid dehydrogenase acyltransferase, catalytic domain,IPR003016:2-oxo acid dehydrogenase, lipoyl-binding site,IPR004167:E3 binding,IPR011053:Single hybrid motif,IPR015761:Lipoamide Acyltransferase,IPR023213:Chloramphenicol acetyltransferase-like domain,	bta00280:Valine, leucine and isoleucine degradation,bta01100:Metabolic pathways,bta01130:Biosynthesis of antibiotics,				3D-structure,Acetylation,Acyltransferase,Complete proteome,Direct protein sequencing,Lipoyl,Mitochondrion,Phosphoprotein,Reference proteome,Transferase,Transit peptide,	chain:Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial,domain:Lipoyl-binding,helix,modified residue,sequence conflict,strand,transit peptide:Mitochondrion,turn,
P09623	dihydrolipoamide dehydrogenase(DLD)	Sus scrofa				GO:0006120~mitochondrial electron transport, NADH to ubiquinone,GO:0006508~proteolysis,GO:0007369~gastrulation,GO:0042391~regulation of membrane potential,GO:0045454~cell redox homeostasis,GO:0048240~sperm capacitation,GO:0055114~oxidation-reduction process,	GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0005929~cilium,GO:0043159~acrosomal matrix,GO:0043209~myelin sheath,GO:0045254~pyruvate dehydrogenase complex,	GO:0004148~dihydrolipoyl dehydrogenase activity,GO:0016668~oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor,GO:0034604~pyruvate dehydrogenase (NAD+) activity,GO:0050660~flavin adenine dinucleotide binding,	IPR004099:Pyridine nucleotide-disulphide oxidoreductase, dimerisation,IPR006258:Dihydrolipoamide dehydrogenase,IPR012999:Pyridine nucleotide-disulphide oxidoreductase, class I, active site,IPR016156:FAD/NAD-linked reductase, dimerisation,IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,	ssc00010:Glycolysis / Gluconeogenesis,ssc00020:Citrate cycle (TCA cycle),ssc00260:Glycine, serine and threonine metabolism,ssc00280:Valine, leucine and isoleucine degradation,ssc00620:Pyruvate metabolism,ssc00630:Glyoxylate and dicarboxylate metabolism,ssc01100:Metabolic pathways,ssc01130:Biosynthesis of antibiotics,ssc01200:Carbon metabolism,				Acetylation,Complete proteome,Direct protein sequencing,Disulfide bond,FAD,Flavoprotein,Mitochondrion,NAD,Oxidoreductase,Phosphoprotein,Proteomics identification,Redox-active center,Reference proteome,Transit peptide,	active site:Proton acceptor,binding site:FAD,binding site:FAD; via amide nitrogen and carbonyl oxygen,binding site:NAD,binding site:NAD; via amide nitrogen,binding site:NAD; via amide nitrogen and carbonyl oxygen,chain:Dihydrolipoyl dehydrogenase, mitochondrial,disulfide bond,modified residue,nucleotide phosphate-binding region:FAD,nucleotide phosphate-binding region:NAD,sequence conflict,transit peptide:Mitochondrion,
B1AZP2	discs, large homolog-associated protein 4 (Drosophila)(Dlgap4)	Mus musculus				GO:0023052~signaling,	GO:0005886~plasma membrane,GO:0016020~membrane,GO:0030425~dendrite,GO:0043025~neuronal cell body,GO:0045202~synapse,	GO:0005515~protein binding,GO:0019904~protein domain specific binding,	IPR005026:Guanylate-kinase-associated protein,					Alternative splicing,Complete proteome,Membrane,Phosphoprotein,Proteomics identification,Reference proteome,	chain:Disks large-associated protein 4,modified residue,sequence conflict,splice variant,
P70610	double C2 domain beta(Doc2b)	Rattus norvegicus				GO:0006887~exocytosis,GO:0008104~protein localization,GO:0031340~positive regulation of vesicle fusion,GO:0032024~positive regulation of insulin secretion,GO:0045956~positive regulation of calcium ion-dependent exocytosis,GO:0048791~calcium ion-regulated exocytosis of neurotransmitter,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0031201~SNARE complex,GO:0098793~presynapse,	GO:0005509~calcium ion binding,GO:0005544~calcium-dependent phospholipid binding,GO:0019905~syntaxin binding,GO:0030276~clathrin binding,	IPR000008:C2 calcium-dependent membrane targeting,IPR001565:Synaptotagmin,IPR014638:Double C2 protein, alpha/beta/gamma type,			PIRSF036931:double C2 protein, alpha/beta/gamma types,	SM00239:C2,	3D-structure,Calcium,Calcium/phospholipid-binding,Cell membrane,Complete proteome,Cytoplasm,Membrane,Phosphoprotein,Reference proteome,Repeat,	chain:Double C2-like domain-containing protein beta,domain:C2 1,domain:C2 2,
